name,time,error,failure
tests.Folder.CopyFolderTest,23.007,10,0
tests.Folder.AddBookmarkTest,10.69,10,0
tests.personal.SignatureTest,20.756,10,0
tests.fileActions.CutFileTest,11.328,10,0
tests.mainToolbar.OpenDocumentation,21.054,10,0
tests.Folder.AddFolderTest,11.215,10,0
tests.Folder.ReloadFolderTest,11.048,10,0
tests.fileActions.ChangeLanguageFileTest,17.063,10,0
tests.fileActions.PrintDocumentTest,13.81,0,0
tests.fileActions.VoteFileTest,19.852,10,0
tests.mainToolbar.OpenCredentials,11.468,0,0
tests.VerifyTitleTest,20.607,0,0
tests.VerifyLogoTest,10.19,0,0
tests.fileActions.BookmarkFileTest,13.396,0,0
tests.AddUserTest,15.808,10,0
tests.fileActions.LinkFileTest,11.537,10,0
tests.mainToolbar.SearchTest,10.536,0,0
tests.personal.ImportContactTest,10.87,0,0
tests.fileActions.CheckoutFileTest,16.859,0,10
tests.fileActions.DeleteFileTest,17.206,10,0
tests.LanguageTest,48.52,0,0
tests.Folder.DeleteFolderTest,16.005,10,0
tests.documentToolbar.ListDocumentTest,10.335,10,0
tests.LanguageTestParameters,122.706,0,0
[0],4.194,0,0
[1],4.241,0,0
[2],4.263,0,0
[3],5.825,0,0
[4],4.508,0,0
[5],4.772,0,0
[6],4.557,0,0
[7],5.798,0,0
[8],4.962,0,0
[9],4.759,0,0
[10],4.59,0,0
[11],5.394,0,0
[12],7.253,0,0
[13],5.2,0,0
[14],6.456,0,0
[15],4.933,0,0
[16],5.987,0,0
[17],5.786,0,0
[18],6.062,0,0
[19],5.342,0,0
[20],5.307,0,0
[21],5.326,0,0
[22],4.985,0,0
[23],2.2,0,0
tests.Folder.MoveFolderTest,16.165,10,0
tests.RememberMeLogin,7.39,10,0
tests.FileDropdownTest,10.836,0,0
tests.fileActions.FilterTest,10.64,10,0
tests.tools.ExportDropboxTest,11.42,10,0
tests.fileActions.PreviewFileTest,10.751,10,0
tests.personal.ProfileTest,21.823,10,0
tests.fileActions.MarkUnindexableFile,11.822,10,0
tests.mainToolbar.OpenForum,11.482,0,10
tests.documentToolbar.RefreshDocumentTest,11.42,0,0
tests.personal.AddContactTest,27.979,10,0
tests.fileActions.IndexFileTest,15.02,10,0
tests.fileActions.EmailFileTest,18.922,0,0
tests.fileActions.CopyFileTest,11.743,10,0
tests.fileActions.DownloadFileTest,11.861,10,0
tests.documentToolbar.GalleryDocumentTest,10.772,10,0
tests.fileActions.SignFileTest,11.234,10,0
tests.fileActions.ImmutableFileTest,11.103,10,0
tests.Folder.ExportToZIPTest,11.231,10,0
tests.tools.ImportDropboxTest,48.343,10,0
tests.AddDocumentTest,39.187,10,0
tests.documentToolbar.DownloadDocumentTest,41.069,10,0
tests.mainToolbar.LogoutTest,28.628,10,0
tests.personal.ChangePassword,30.307,10,0
tests.mainToolbar.OpenBugReport,33.134,10,0
tests.personal.RemoveCookiesTest,26.147,10,0
tests.fileActions.LockFileTest,14.243,10,0
tests.LoginTest,16.499,0,10
tests.DeleteDocumentTest,29.189,10,0
tests.tools.RegistrationTest,26.67,10,0
tests.fileActions.UnlockFileTest,24.628,10,0
tests.Folder.RenameFolderTest,22.683,10,0
tests.personal.PrivateKeyTest,16.949,0,0
tests.fileActions.TagFileTest,28.092,10,0
pageObjects.DeleteDocument,19.461,10,0
tests.fileActions.CheckinFileTest,16.156,10,0
tests.fileActions.MarkIndexableFileTest,13.069,10,0
